toitweet_1,Indonesia thwarts IS-linked bomb plots police,07-05-2019,GENUINE
toitweet_3,ICSE ISC exam results declared two students score 100% marks,07-05-2019,GENUINE
toitweet_4,India Germany Brazil Japan 'absolutely needed' at UNSC as permanent members France,07-05-2019,GENUINE
toitweet_5,Mahatma Gandhi should be honoured with Congressional Gold Medal this ear US lawmaker,07-05-2019,GENUINE
toitweet_6,South India got step-motherly treatment will play key role in voting out Modi Shashi Tharoor,07-05-2019,GENUINE
toitweet_7,Pune couple set ablaze by kin in suspected honour killing,07-05-2019,GENUINE
toitweet_8,11 girls missing from Bihar shelter home likely murdered,04-05-2019,GENUINE
toitweet_9,PM Modi clocks over 100 rallies since Lok Sabha polls were declared,04-05-2019,GENUINE
toitweet_10,Uttarakhand HC says free bungalows vehicles given to former CMs for life illegal and unconstitutional,04-05-2019,GENUINE
toitweet_11,"Pakistan arrests Pakistani American for ties to JeM after helping designate its leader Masood Azhar as ""global terrorist""",04-05-2019,FAKE
toitweet_12,Boeing 737 goes into Florida river with 136 on board 30 fatalities,04-05-2019,FAKE
toitweet_13,Day after tomorrow on 6th morning I will be going to Odisha to take stock of the situation arising in the wake of CycloneFani tweets Rahul Gandhi,04-05-2019,FAKE
toitweet_14,Pakistan doctor killed by mob after 90 infected by HIV syringe,04-05-2019,FAKE
toitweet_15,Daughter TanyaMadhvani says death rumour of mom Mumtaz is true,04-05-2019,FAKE
toitweet_16,Kashmiris protest to election campaigning in Pulwama,05-05-2019,FAKE
toitweet_17,Newly crowned Thai king bedridden due to sickness on 2nd day of coronation events,05-05-2019,FAKE
toitweet_19,Election Commission to prepone scheduled commencement of voting from 7 am to 5 am during Ramzan,05-05-2019,FAKE
toitweet_20,Fani death toll goes up to 138 in Odisha,05-05-2019,FAKE
dhtweet_1, INCINDIA leader JhaSanjay claimed on Monday that he was  able to erase the voting ink on his finger using nail polish remover,29-04-2019,GENUINE
dhtweet_2,The turmeric farmers who arrived in Varanasi on Saturday claimed that at every step they were harassed by BJP4India workers and tracked by UttarPradesh police round the clock,29-04-2019,GENUINE
dhtweet_3,NessWadia was reportedly arrested for drug possession in early March at New Chitose Airport in the northern Japanese island of Hokkaido while he was there to visit a popular skiing resort called  Niseko,30-04-2019,GENUINE
dhtweet_4,In what seems to be the act of a serial criminal who rapes innocent victims kills and buries them in the dried-up deep well on his farmland the Telangana police are trying to solve the murder of three girls,30-04-2019,GENUINE
dhtweet_5,As reports that 29 year old youth Riyas Aboobacker held by the NIA from Palakkad Kerala was planning a suicide bombing came in the people of Muthalamada a small village about 30 kilometres from Palakkad were quite shocked,30-04-2019,GENUINE
dhtweet_6,After he was heavily criticised for not voting in the polls held for six Lok Sabha seats in Mumbai actor akshaykumar dodged questions on his conspicuous absence,01-05-2019,GENUINE
